text,label
Saya berasa agak busuk jadi saya tidak begitu bercita -cita tinggi sekarang,0
Saya mengemas kini blog saya kerana saya berasa bersemangat,0
Saya tidak pernah membuatnya terpisah dari saya kerana saya tidak mahu dia berasa seperti saya malu dengannya,0
Saya meninggalkan dengan sejambak tulip merah dan kuning di bawah lengan saya berasa sedikit lebih optimis daripada ketika saya tiba,1
Saya berasa sedikit sia -sia ketika saya melakukan yang ini,0
saya tidak dapat masuk ke kedai di mana sahaja saya tidak merasa tidak selesa,2
Saya merasakan kemarahan ketika di akhir panggilan telefon,3
Saya menjelaskan mengapa saya berpegang pada hubungan dengan seorang budak lelaki yang dalam banyak cara tidak matang dan tidak berkesudahan walaupun kegembiraan yang sepatutnya saya rasa untuk diterima masuk ke program Masters di University of Virginia,1
Saya suka mempunyai perasaan terengah -engah yang sama seperti pembaca yang ingin melihat apa yang akan berlaku seterusnya,1
Saya bercerita saya berasa letih dan pra haid yang mungkin saya lakukan tetapi sekali lagi hanya seminggu dan saya sesuai sebagai walrus bercuti untuk musim panas,3
saya tidak berasa sangat gelisah,2
Saya berasa emosi yang indah mengetahui bahawa wanita -wanita ini yang saya tahu hanya segelintir yang memegang saya dan baba saya dalam perjalanan kami,0
saya memberi perhatian semakin mendalam kepada perasaan yang diserang dan tidak berdaya,2
Saya hanya berasa sangat selesa dengan kumpulan orang yang saya tidak perlu menyembunyikan diri,1
Saya mendapati diri saya berada dalam kedudukan yang ganjil untuk menyokong,4
Saya berasa kecewa kerana saya pasti Katniss,0
Saya rasa sedikit lembut hari ini,1
Saya rasa seperti satu -satunya peranan saya sekarang adalah merobek layar anda dengan pesimisme dan ketidakpuasan saya,0
saya rasa hanya bertarung kita saling marah dan ingin membuat publisiti dan membiarkan dunia mengetahui tentang perjuangan kita,3
Saya rasa seperti merah dan ungu sangat kaya dan sempurna,1
Saya tidak pasti perasaan kehilangan akan hilang tetapi mungkin membosankan perasaan nostalgia yang manis pada apa yang saya kongsi dalam kehidupan ini dengan ayah saya dan nasib saya harus mempunyai ayah selama bertahun -tahun,0
Saya berasa seperti saya tahu banyak daripada anda melalui komen dan e -mel dan untuk itu saya menghargai dan gembira anda adalah sebahagian daripada ruang kecil ini,1
Saya meninjau jawatan saya sendiri sejak beberapa tahun kebelakangan ini dan hanya merasa senang dengan coretan yang tidak jelas dari beberapa daripada mereka hanya merasakan bahawa sedikit bit mereka menangkap bagaimana ia menjadi saya atau seseorang seperti saya di Dublin pada abad ke abad,1
Saya juga memberitahu anda dengan harapan bahawa sesiapa yang masih merasa stigmatized atau malu dengan masalah kesihatan mental mereka akan melepaskan stigma melepaskan rasa malu,0
saya tidak merasa bersalah seperti saya tidak akan dapat memasak untuknya,0
saya benci ketika saya merasa takut sama sekali tidak ada alasan,2
Saya berasa marah ia menunjukkan di mana -mana,3
Saya mencuri buku dari salah satu pengarang kegemaran saya sepanjang masa dan sekarang saya rasa seperti orang yang busuk,0
Saya kadang -kadang merasa tidak selamat tetapi siapa yang tidak,2
Saya sangat mengesyorkan melawat pada hari Rabu jika anda mampu kerana kurang sesak sehingga anda dapat bertanya kepada petani lebih banyak pertanyaan tanpa merasa kasar kerana memegang garis,3
Saya telah merindui dia dan merasa sangat gelisah di rumah memikirkannya,2
Saya menyiarkan di laman facebook saya awal minggu ini saya berasa sedikit pemarah dan keluar dari beberapa hari yang lalu,3
Saya mula merasa beremosi,0
saya berasa sangat sejuk http irama,3
Saya rasa seperti saya cacat atau sesuatu kerana tidak mengalami demam bayi,0
Saya berasa lebih mulia daripada ketika saya makan sayur -sayuran yang dicelupkan dalam hummus,1
Saya merasa sangat dihormati untuk dimasukkan ke dalam magzine yang mengutamakan kesihatan dan kehidupan yang bersih sehingga sangat ingin tahu ada di antara anda yang membaca majalah yang bersangkutan dengan gaya hidup kesihatan dan bersih seperti ibu bapa hijau,1
Saya menghabiskan dua minggu terakhir sekolah merasa sengsara,0
Saya berasa sangat damai dengan perkahwinan kami sekarang setelah mempunyai,1
Saya telah bercakap dengan jurulatih Claudia Barcomb dan jurulatih Ali Boe untuk masa yang lama dan mereka berdua membuat saya berasa sangat disambut di Union,1
Saya merasakan jika saya membenci perkara -perkara yang benar,3
Saya berasa malu atau bodoh saya akan ingat bahawa orang lain merasakan cara yang sama kerana perkara yang sama dan saya akan baik hati dan membantu dan menerima,0
Saya berasa yakin bahawa saya berurusan dengan diet saya dengan cara yang betul dan semuanya baik,1
saya rasa saya harus bersetuju dengannya walaupun saya dapat membayangkan beberapa kes yang agak tidak menyenangkan,0
Saya dalam suasana gembira hari ini saya merasa hampir gembira dan saya tidak pernah melakukan sesuatu yang berbeza hari ini maka saya biasanya memilikinya indah,1
Saya berasa sangat tidak selesa dan jengkel,3
Saya juga tahu bahawa saya juga tidak merasakan kasih sayang yang mesra kepada mereka,1
Saya rasa saya mempunyai hujung minggu yang agak produktif dan saya tidak selalu mengatakan bahawa tidak kira berapa banyak yang saya lakukan,1
Saya berasa tidak selamat pada masa ini,2
Saya berasa sangat cemas sepanjang hari tetapi hari pertama saya di tempat kerja adalah hari yang sangat baik dan banyak membantu,2
"Saya berdiri untuk anda, saya akhirnya berdiri untuk anda dan sekarang saya rasa seperti saya dihukum jika saya dapat kembali dan melakukannya lagi",0
Saya berasa sedikit gugup saya pergi ke gimnasium,2
Saya rasa saya dapat pergi ke apa -apa keadaan dan berjaya kerana saya telah bersaing sepanjang hidup saya menjelaskan Schaub dalam temu bual dengan href http bleacherreport,1
saya tidak dapat menghentikan kegelisahan yang saya rasakan ketika saya bersendirian ketika saya tidak mengalami gangguan,0
Saya cuba merasakan gaya rumah saya sekarang bahawa saya hidup sendiri dan mempunyai carte blanche kreatif,1
Saya telah cuba melihat bagaimana rasanya jika saya menyukai salah seorang kawan gadis saya tetapi ia tidak pernah benar -benar bekerja dan saya hanya dapat merasakan hubungan emosional kepada mereka kerana mereka adalah kawan saya,0
Saya mempunyai niat untuk melakukan lebih banyak berkebun pagi ini sementara ia masih sejuk tetapi saya hanya merasa sangat busuk,0
"Saya mempunyai perasaan yang baik mengenai perkara ini, jadi saya teruja",1
Saya rasa saya baru mula memahami berkat -berkat yang datang dari tunduklah kepada kehendak Bapa,0
Saya memikirkan perkara -perkara yang saya katakan dan perkara yang saya lakukan itu membuatkan saya berasa jijik dalam diri saya ketika saya harus membuat anda bahagia dan tersenyum yang saya jauh dari,3
Saya bangun semalam pagi Isnin berasa sedikit tertekan,0
Saya berasa sangat malu,0
Saya menghabiskan masa mengembara di sekitar masih agak terperanjat dan tidak berasa sangat bergaul tetapi kerana id bersembunyi selama beberapa hari dan ia menjadi sedikit tidak sihat saya membuat diri saya turun ke salib dan bergaul dengan orang,1
Saya boleh dengan jujur ​​mengatakan bahawa selepas setiap sembang Sistah saya merasa segar dan diberkati,1
saya masih merasa bodoh berada di kelas itu semuanya menyebabkan kesalahan PBSS,0
Saya berasa sedikit terkejut tetapi tidak dapat membayangkan apa yang orang yang bekerja di studio sehingga pagi ini merasa,5
saya akui saya merasa sedikit tidak diingini pada ketika ini,0
Saya berasa agak tertekan walaupun semua perkara yang saya lakukan adalah menyeronokkan,3
Saya berasa sangat cemas,2
Saya berasa terkejut dan sedih pada hakikatnya ada begitu banyak orang yang sakit,5
Saya rasa mereka selalu menjadi penyokong idea itu dan hanya sedikit mungkin perasaannya untuk seorang gadis New England yang sangat menawan telah membawanya ke arah pemikiran mereka,1
Saya rasa seperti gadis sekolah nakal kerana saya tertinggal,4
saya betul -betul diserahkan namun saya bermain biliard yang tersisa secara semula jadi sehingga saya cuba bermain tangan kanan terasa pelik,5
Saya dapat merasakan bahawa mereka ramah dan dapat memahami perasaan saya,1
Saya pergi ke luar negara atau menyeberangi sempadan kemudian saya menjadi orang asing dan akan merasa seperti itu tetapi tidak pernah di tanah tercinta saya,4
Saya berasa jijik pada mana -mana lelaki yang berkuasa yang bercakap tentang elektrik menjadi masalah di kawasannya dan mengatakan walaupun rumah saya sendiri mempunyai masalah yang sama,3
Saya berasa transendan dan indah,1
Saya akhirnya tiba di rumah beberapa jam kemudian berasa agak letih dehidrasi dan bahkan matahari terbakar,0
Saya berasa sangat santai dan selesa,1
Saya mahu setiap anda merasakan pelukan lembut saya,4
Saya merasa istimewa di dunia saya,1
saya bukan orang tetapi sebab beberapa orang yang fuckin merasakan bahawa mereka boleh datang melahirkan saya dengan sampah kecil mereka,3
Saya menyedari kesilapan saya dan saya benar -benar berasa dahsyat dan berfikir bahawa saya tidak boleh melakukannya,0
Saya rasa saya berasa terlalu mempercayai,1
saya pulang ke rumah menunggu mandi membaca sesuatu yang membuat saya kecewa sebab itu saya rasa tidak puas hati haha,0
saya bangun berasa jelek letih dan melawan perasaan ini sepanjang hari mungkin semuanya adalah debunga tekanan barometrik yang saya tidak tahu saya tahu saya tidak tahu,0
Saya rasa seperti saya di syurga mencium bibir manis itu membuatkan saya berasa seperti saya menyelam ke dunia cinta yang ajaib,1
Saya berasa sangat gembira,1
Saya berlari pada kadar yang hampir sama yang saya rasa cukup boleh diterima,1
Saya berasa sangat kecewa apabila bekas teman wanita saya tidak memanggil saya kembali,0
Saya mempunyai perasaan bahawa orang menggunakannya lebih daripada yang mereka perlukan dan menikmati perasaan itu kerana ia terbang dengan lidah tetapi tidak mengapa dengan saya,1
Saya berasa tidak pasti tentang merit penyiaran ke blog ini dengan kekerapan atau kesungguhan yang telah saya lalui sepanjang tahun sebelumnya,2
Saya hanya berasa iri dengan keyakinan diri yang mereka ada,3
